code,name,country,type,latitude,longitude
HNK,Hoorn Kersenboogerd,NL,stoptreinstation,52.653610229492,5.0855555534363
RAT,Raalte,NL,stoptreinstation,52.391666412354,6.2775001525879
RTST,Rotterdam Stadion,NL,facultatiefStation,51.893890380859,4.5197219848633
EPRN,Preussen,D,stoptreinstation,51.58833,7.53933
GLN,Geleen Oost,NL,stoptreinstation,50.966945648193,5.8430557250977
HNO,Heino,NL,stoptreinstation,52.427223205566,6.2211112976074
KTR,Kesteren,NL,stoptreinstation,51.9313869,5.5833465
YPB,Den Haag Ypenburg,NL,stoptreinstation,52.055278778076,4.39222240448
HNP,Hindeloopen,NL,stoptreinstation,52.9464903,5.423063
FLGP,Liège-Saint-Lambert,B,stoptreinstation,50.64648,5.57072
EHS,Eindhoven Strijp-S,NL,stoptreinstation,51.451110839844,5.4558334350586
SDA,Scheemda,NL,stoptreinstation,53.1655362,6.9777775
EHV,Eindhoven Centraal,NL,megastation,51.443332672119,5.4813890457153
EHW,Rosendahl-Holtwick,D,stoptreinstation,51.99946726041,7.1215009689331
LWC,Leeuwarden Camminghaburen,NL,stoptreinstation,53.2021808,5.8422968
LANDRY,Landry,F,intercitystation,45.57414,6.73378
UHM,Uithuizermeeden,NL,stoptreinstation,53.4145845,6.7202975
SDM,Schiedam Centrum,NL,stoptreinstation,51.921243812803,4.4089937210083
REGENB,Regensburg Hbf,D,intercitystation,49.011672,12.099617
AC,Abcoude,NL,stoptreinstation,52.2785,4.977
SDT,Sliedrecht,NL,stoptreinstation,51.829723358154,4.7783331871033
ASDL,Amsterdam Lelylaan,NL,stoptreinstation,52.357776641846,4.8338890075684
ASDM,Amsterdam Muiderpoort,NL,stoptreinstation,52.360553741455,4.9311113357544
HON,Holten,NL,stoptreinstation,52.283889770508,6.42027759552
UHZ,Uithuizen,NL,stoptreinstation,53.4099568,6.6748869
AH,Arnhem Centraal,NL,knooppuntIntercitystation,51.985000610352,5.8991665840149
HMBH,Helmond Brouwhuis,NL,stoptreinstation,51.47068,5.70177
HOR,Hollandsche Rading,NL,stoptreinstation,52.17777633667,5.1791667938232
LINZ,Linz Hbf,A,intercitystation,48.29018,14.29213
HRLW,Heerlen Woonboulevard,NL,stoptreinstation,50.896667,5.952222
PASS,Passau Hbf,D,intercitystation,48.573426952347,13.450870513916
DMNZ,Diemen Zuid,NL,stoptreinstation,52.330276489258,4.9558334350586
NEUSS,Neuss Hbf,D,stoptreinstation,51.20444,6.68468
AW,Aachen West,D,stoptreinstation,50.78036,6.070715
HMBV,Helmond Brandevoort,NL,stoptreinstation,51.462223052979,5.6072220802307
ACDG,Airport Charles de Gaulle,F,knooppuntIntercitystation,49.004048,2.571133
GND,Hardinxveld-Giessendam,NL,stoptreinstation,51.830554962158,4.8358335494995
TGO,Göppingen,D,sneltreinstation,48.700191,9.651685
FLB,Limburg Süd,D,stoptreinstation,50.382498,8.096112
WIENH,Wien Hütteldorf,A,intercitystation,48.197222,16.261389
BASELS,Basel SBB,CH,megastation,47.5474,7.58956
