from,to,cost_unit,distance
HNK,HKS,10,7.8
HNK,HKS,10,7.8
HNK,HN,0,2.3
HNK,HN,0,2.3
RAT,HNO,6,5.5
RAT,HNO,6,5.5
RAT,NVD,14,12.8
RAT,NVD,14,12.8
RTST,RLB,3,1.7
RTST,RLB,3,1.7
RTST,RTZ,0,1.3
RTST,RTZ,0,1.3
EPRN,EDD,3,2.4
EPRN,EDD,3,2.4
EPRN,ELUE,3,3.3
EPRN,ELUE,3,3.3
GLN,SBK,3,2.7
GLN,SBK,3,2.7
GLN,STD,4,4.0
GLN,STD,4,4.0
HNO,RAT,6,5.5
HNO,RAT,6,5.5
HNO,ZL,12,12.3
HNO,ZL,12,12.3
KTR,OP,4,3.7
KTR,OP,4,3.7
KTR,TL,12,12.0
KTR,TL,12,12.0
YPB,VB,4,2.6
YPB,VB,4,2.6
YPB,ZTM,5,5.9
YPB,ZTM,5,5.9
HNP,KMW,5,4.9
HNP,KMW,5,4.9
HNP,WK,4,3.7
HNP,WK,4,3.7
FLGP,FLJ,1,0.9
FLGP,FLJ,1,0.9
FLGP,LHS,4,4.0
FLGP,LHS,4,4.0
EHS,BET,9,8.0
EHS,BET,9,8.0
EHS,EHV,1,2.0
EHS,EHV,1,2.0
SDA,WS,5,4.8
SDA,WS,5,4.8
SDA,ZB,8,7.4
SDA,ZB,8,7.4
EHV,EHS,1,2.0
EHV,EHS,1,2.0
EHV,GP,6,5.5
EHV,GP,6,5.5
EHV,HMBV,10,9.0
EHV,HMBV,10,9.0
EHW,ECMF,7,7.3
EHW,ECMF,7,7.3
EHW,ELGD,5,4.5
EHW,ELGD,5,4.5
LWC,HDG,7,6.4
LWC,HDG,7,6.4
LWC,LW,3,3.4
LWC,LW,3,3.4
LANDRY,AIME,7,7.0
LANDRY,AIME,7,7.0
LANDRY,BOURG,6,5.8
LANDRY,BOURG,6,5.8
UHM,RD,3,2.7
UHM,RD,3,2.7
UHM,UHZ,3,3.1
UHM,UHZ,3,3.1
SDM,DTCP,8,8.3
SDM,DTCP,8,8.3
SDM,RTD,4,4.1
SDM,RTD,4,4.1
REGENB,NURNB,89,88.2
REGENB,NURNB,89,88.2
REGENB,PASS,111,110.3
REGENB,PASS,111,110.3
AC,ASHD,2,2.5
AC,ASHD,2,2.5
AC,BKL,12,11.9
AC,BKL,12,11.9
SDT,HBZM,1,2.6
SDT,HBZM,1,2.6
SDT,SDTB,3,2.4
SDT,SDTB,3,2.4
ASDL,ASS,3,3.5
ASDL,ASS,3,3.5
ASDL,SHL,12,7.3
ASDL,SHL,12,7.3
ASDL,ZD,9,9.1
ASDL,ZD,9,9.1
ASDM,ASA,2,1.8
ASDM,ASA,2,1.8
ASDM,ASD,4,2.9
ASDM,ASD,4,2.9
ASDM,ASSP,1,1.2
ASDM,ASSP,1,1.2
HON,DVC,15,14.5
HON,DVC,15,14.5
HON,RSN,7,7.5
HON,RSN,7,7.5
UHZ,UHM,3,3.1
UHZ,UHM,3,3.1
UHZ,UST,5,4.4
UHZ,UST,5,4.4
AH,AHP,1,1.4
AH,AHP,1,1.4
AH,AHZ,8,4.6
AH,AHZ,8,4.6
AH,OTB,4,4.2
AH,OTB,4,4.2
HMBH,DN,9,6.3
HMBH,DN,9,6.3
HMBH,HM,0,2.8
HMBH,HM,0,2.8
HOR,HVSP,6,4.3
HOR,HVSP,6,4.3
HOR,UTO,9,8.4
HOR,UTO,9,8.4
LINZ,AMST,48,327.5
LINZ,AMST,48,327.5
LINZ,WELS,24,24.0
LINZ,WELS,24,24.0
HRLW,HRL,2,1.7
HRLW,HRL,2,1.7
HRLW,VDL,2,1.9
HRLW,VDL,2,1.9
PASS,REGENB,111,110.3
PASS,REGENB,111,110.3
PASS,WELS,62,62.1
PASS,WELS,62,62.1
DMNZ,DVD,2,1.5
DMNZ,DVD,2,1.5
DMNZ,WP,7,6.2
DMNZ,WP,7,6.2
NEUSS,DUSSEL,8,7.8
NEUSS,DUSSEL,8,7.8
NEUSS,MCGB,17,16.6
NEUSS,MCGB,17,16.6
HMBV,EHV,10,9.0
HMBV,EHV,10,9.0
HMBV,HMH,3,1.8
HMBV,HMH,3,1.8
ACDG,BRUSZ,240,239.8
ACDG,BRUSZ,240,239.8
ACDG,MARNE,22,21.6
ACDG,MARNE,22,21.6
ACDG,VALTGV,483,486.2
ACDG,VALTGV,483,486.2
